"model_id","canonical_slug","model_name","description","created","prompt_cost_per_1m","completion_cost_per_1m","avg_cost_per_1m","request_cost","image_cost","is_free","param_size","context_length","architecture","top_provider","per_request_limits","supported_parameters","default_parameters","last_updated","created_at"
bytedance/ui-tars-1.5-7b,bytedance/ui-tars-1.5-7b,ByteDance: UI-TARS 7B ,"UI-TARS-1.5 is a multimodal vision-language agent optimized for GUI-based environments, including desktop interfaces, web browsers, mobile systems, and games. Built by ByteDance, it builds upon the UI-TARS framework with reinforcement learning-based reasoning, enabling robust action planning and execution across virtual interfaces.

This model achieves state-of-the-art results on a range of interactive and grounding benchmarks, including OSworld, WebVoyager, AndroidWorld, and ScreenSpot. It also demonstrates perfect task completion across diverse Poki games and outperforms prior models in Minecraft agent tasks. UI-TARS-1.5 supports thought decomposition during inference and shows strong scaling across variants, with the 1.5 version notably exceeding the performance of earlier 72B and 7B checkpoints.",1753205056,0.1000000000,0.2000000000,0.1500000000,0.0000000000,0.0000000000,false,7.00,128000,"{""modality"": ""text+image->text"", ""tokenizer"": ""Other"", ""instruct_type"": null, ""input_modalities"": [""image"", ""text""], ""output_modalities"": [""text""]}","{""is_moderated"": false, ""context_length"": 128000, ""max_completion_tokens"": 2048}","","[""frequency_penalty"", ""logit_bias"", ""max_tokens"", ""min_p"", ""presence_penalty"", ""repetition_penalty"", ""seed"", ""stop"", ""temperature"", ""top_k"", ""top_p""]","",2026-01-09 12:37:10.659 +0000,2026-01-09 12:37:10.659 +0000
cohere/command-r7b-12-2024,cohere/command-r7b-12-2024,Cohere: Command R7B (12-2024),"Command R7B (12-2024) is a small, fast update of the Command R+ model, delivered in December 2024. It excels at RAG, tool use, agents, and similar tasks requiring complex reasoning and multiple steps.

Use of this model is subject to Cohere's [Usage Policy](https://docs.cohere.com/docs/usage-policy) and [SaaS Agreement](https://cohere.com/saas-agreement).",1734158152,0.0375000000,0.1500000000,0.0937500000,0.0000000000,0.0000000000,false,7.00,128000,"{""modality"": ""text->text"", ""tokenizer"": ""Cohere"", ""instruct_type"": null, ""input_modalities"": [""text""], ""output_modalities"": [""text""]}","{""is_moderated"": true, ""context_length"": 128000, ""max_completion_tokens"": 4000}","","[""frequency_penalty"", ""max_tokens"", ""presence_penalty"", ""response_format"", ""seed"", ""stop"", ""structured_outputs"", ""temperature"", ""top_k"", ""top_p""]","",2026-01-09 12:37:10.659 +0000,2026-01-09 12:37:10.659 +0000
deepseek/deepseek-r1-0528-qwen3-8b,deepseek/deepseek-r1-0528-qwen3-8b,DeepSeek: DeepSeek R1 0528 Qwen3 8B,"DeepSeek-R1-0528 is a lightly upgraded release of DeepSeek R1 that taps more compute and smarter post-training tricks, pushing its reasoning and inference to the brink of flagship models like O3 and Gemini 2.5 Pro.
It now tops math, programming, and logic leaderboards, showcasing a step-change in depth-of-thought.
The distilled variant, DeepSeek-R1-0528-Qwen3-8B, transfers this chain-of-thought into an 8 B-parameter form, beating standard Qwen3 8B by +10 pp and tying the 235 B “thinking” giant on AIME 2024.",1748538543,0.0600000000,0.0900000000,0.0750000000,0.0000000000,0.0000000000,false,8.00,128000,"{""modality"": ""text->text"", ""tokenizer"": ""Qwen"", ""instruct_type"": ""deepseek-r1"", ""input_modalities"": [""text""], ""output_modalities"": [""text""]}","{""is_moderated"": false, ""context_length"": 128000, ""max_completion_tokens"": 32000}","","[""frequency_penalty"", ""include_reasoning"", ""max_tokens"", ""presence_penalty"", ""reasoning"", ""repetition_penalty"", ""seed"", ""stop"", ""temperature"", ""top_k"", ""top_p""]","{""top_p"": null, ""temperature"": null, ""frequency_penalty"": null}",2026-01-09 12:37:10.659 +0000,2026-01-09 12:37:10.659 +0000
google/gemma-3-4b-it,google/gemma-3-4b-it,Google: Gemma 3 4B,"Gemma 3 introduces multimodality, supporting vision-language input and text outputs. It handles context windows up to 128k tokens, understands over 140 languages, and offers improved math, reasoning, and chat capabilities, including structured outputs and function calling.",1741905510,0.0170301200,0.0681536000,0.0425918600,0.0000000000,0.0000000000,false,4.00,96000,"{""modality"": ""text+image->text"", ""tokenizer"": ""Gemini"", ""instruct_type"": ""gemma"", ""input_modalities"": [""text"", ""image""], ""output_modalities"": [""text""]}","{""is_moderated"": false, ""context_length"": 96000, ""max_completion_tokens"": null}","","[""frequency_penalty"", ""max_tokens"", ""min_p"", ""presence_penalty"", ""repetition_penalty"", ""response_format"", ""seed"", ""stop"", ""temperature"", ""top_k"", ""top_p""]","",2026-01-09 12:37:10.659 +0000,2026-01-09 12:37:10.659 +0000
ibm-granite/granite-4.0-h-micro,ibm-granite/granite-4.0-h-micro,IBM: Granite 4.0 Micro,Granite-4.0-H-Micro is a 3B parameter from the Granite 4 family of models. These models are the latest in a series of models released by IBM. They are fine-tuned for long context tool calling. ,1760927695,0.0170000000,0.1100000000,0.0635000000,0.0000000000,0.0000000000,false,3.00,131000,"{""modality"": ""text->text"", ""tokenizer"": ""Other"", ""instruct_type"": null, ""input_modalities"": [""text""], ""output_modalities"": [""text""]}","{""is_moderated"": false, ""context_length"": 131000, ""max_completion_tokens"": null}","","[""frequency_penalty"", ""max_tokens"", ""presence_penalty"", ""repetition_penalty"", ""seed"", ""temperature"", ""top_k"", ""top_p""]","{""top_p"": null, ""temperature"": null, ""frequency_penalty"": null}",2026-01-09 12:37:10.659 +0000,2026-01-09 12:37:10.659 +0000
meta-llama/llama-guard-3-8b,meta-llama/llama-guard-3-8b,Llama Guard 3 8B,"Llama Guard 3 is a Llama-3.1-8B pretrained model, fine-tuned for content safety classification. Similar to previous versions, it can be used to classify content in both LLM inputs (prompt classification) and in LLM responses (response classification). It acts as an LLM – it generates text in its output that indicates whether a given prompt or response is safe or unsafe, and if unsafe, it also lists the content categories violated.

Llama Guard 3 was aligned to safeguard against the MLCommons standardized hazards taxonomy and designed to support Llama 3.1 capabilities. Specifically, it provides content moderation in 8 languages, and was optimized to support safety and security for search and code interpreter tool calls.
",1739401318,0.0200000000,0.0600000000,0.0400000000,0.0000000000,0.0000000000,false,8.00,131072,"{""modality"": ""text->text"", ""tokenizer"": ""Llama3"", ""instruct_type"": ""none"", ""input_modalities"": [""text""], ""output_modalities"": [""text""]}","{""is_moderated"": false, ""context_length"": 131072, ""max_completion_tokens"": null}","","[""frequency_penalty"", ""max_tokens"", ""min_p"", ""presence_penalty"", ""repetition_penalty"", ""response_format"", ""seed"", ""stop"", ""temperature"", ""top_k"", ""top_p""]","",2026-01-09 12:37:10.659 +0000,2026-01-09 12:37:10.659 +0000
meta-llama/llama-3.2-3b-instruct,meta-llama/llama-3.2-3b-instruct,Meta: Llama 3.2 3B Instruct,"Llama 3.2 3B is a 3-billion-parameter multilingual large language model, optimized for advanced natural language processing tasks like dialogue generation, reasoning, and summarization. Designed with the latest transformer architecture, it supports eight languages, including English, Spanish, and Hindi, and is adaptable for additional languages.

Trained on 9 trillion tokens, the Llama 3.2 3B model excels in instruction-following, complex reasoning, and tool use. Its balanced performance makes it ideal for applications needing accuracy and efficiency in text generation across multilingual settings.

Click here for the [original model card](https://github.com/meta-llama/llama-models/blob/main/models/llama3_2/MODEL_CARD.md).

Usage of this model is subject to [Meta's Acceptable Use Policy](https://www.llama.com/llama3/use-policy/).",1727222400,0.0200000000,0.0200000000,0.0200000000,0.0000000000,0.0000000000,false,3.00,131072,"{""modality"": ""text->text"", ""tokenizer"": ""Llama3"", ""instruct_type"": ""llama3"", ""input_modalities"": [""text""], ""output_modalities"": [""text""]}","{""is_moderated"": false, ""context_length"": 131072, ""max_completion_tokens"": 16384}","","[""frequency_penalty"", ""logit_bias"", ""max_tokens"", ""min_p"", ""presence_penalty"", ""repetition_penalty"", ""response_format"", ""seed"", ""stop"", ""temperature"", ""tool_choice"", ""tools"", ""top_k"", ""top_p""]","",2026-01-09 12:37:10.659 +0000,2026-01-09 12:37:10.659 +0000
microsoft/phi-4-multimodal-instruct,microsoft/phi-4-multimodal-instruct,Microsoft: Phi 4 Multimodal Instruct,"Phi-4 Multimodal Instruct is a versatile 5.6B parameter foundation model that combines advanced reasoning and instruction-following capabilities across both text and visual inputs, providing accurate text outputs. The unified architecture enables efficient, low-latency inference, suitable for edge and mobile deployments. Phi-4 Multimodal Instruct supports text inputs in multiple languages including Arabic, Chinese, English, French, German, Japanese, Spanish, and more, with visual input optimized primarily for English. It delivers impressive performance on multimodal tasks involving mathematical, scientific, and document reasoning, providing developers and enterprises a powerful yet compact model for sophisticated interactive applications. For more information, see the [Phi-4 Multimodal blog post](https://azure.microsoft.com/en-us/blog/empowering-innovation-the-next-generation-of-the-phi-family/).
",1741396284,0.0500000000,0.1000000000,0.0750000000,0.0000000000,0.0001768500,false,5.60,131072,"{""modality"": ""text+image->text"", ""tokenizer"": ""Other"", ""instruct_type"": null, ""input_modalities"": [""text"", ""image""], ""output_modalities"": [""text""]}","{""is_moderated"": false, ""context_length"": 131072, ""max_completion_tokens"": null}","","[""frequency_penalty"", ""max_tokens"", ""min_p"", ""presence_penalty"", ""repetition_penalty"", ""response_format"", ""seed"", ""stop"", ""temperature"", ""top_k"", ""top_p""]","",2026-01-09 12:37:10.659 +0000,2026-01-09 12:37:10.659 +0000
mistralai/ministral-3b-2512,mistralai/ministral-3b-2512,Mistral: Ministral 3 3B 2512,"The smallest model in the Ministral 3 family, Ministral 3 3B is a powerful, efficient tiny language model with vision capabilities.",1764681560,0.1000000000,0.1000000000,0.1000000000,0.0000000000,0.0000000000,false,3.00,131072,"{""modality"": ""text+image->text"", ""tokenizer"": ""Mistral"", ""instruct_type"": null, ""input_modalities"": [""text"", ""image""], ""output_modalities"": [""text""]}","{""is_moderated"": false, ""context_length"": 131072, ""max_completion_tokens"": null}","","[""frequency_penalty"", ""max_tokens"", ""presence_penalty"", ""response_format"", ""seed"", ""stop"", ""structured_outputs"", ""temperature"", ""tool_choice"", ""tools"", ""top_p""]","{""top_p"": null, ""temperature"": 0.3, ""frequency_penalty"": null}",2026-01-09 12:37:10.659 +0000,2026-01-09 12:37:10.659 +0000
mistralai/ministral-8b-2512,mistralai/ministral-8b-2512,Mistral: Ministral 3 8B 2512,"A balanced model in the Ministral 3 family, Ministral 3 8B is a powerful, efficient tiny language model with vision capabilities.",1764681654,0.1500000000,0.1500000000,0.1500000000,0.0000000000,0.0000000000,false,8.00,262144,"{""modality"": ""text+image->text"", ""tokenizer"": ""Mistral"", ""instruct_type"": null, ""input_modalities"": [""text"", ""image""], ""output_modalities"": [""text""]}","{""is_moderated"": false, ""context_length"": 262144, ""max_completion_tokens"": null}","","[""frequency_penalty"", ""max_tokens"", ""presence_penalty"", ""response_format"", ""seed"", ""stop"", ""structured_outputs"", ""temperature"", ""tool_choice"", ""tools"", ""top_p""]","{""top_p"": null, ""temperature"": 0.3, ""frequency_penalty"": null}",2026-01-09 12:37:10.659 +0000,2026-01-09 12:37:10.659 +0000
mistralai/ministral-3b,mistralai/ministral-3b,Mistral: Ministral 3B,"Ministral 3B is a 3B parameter model optimized for on-device and edge computing. It excels in knowledge, commonsense reasoning, and function-calling, outperforming larger models like Mistral 7B on most benchmarks. Supporting up to 128k context length, it’s ideal for orchestrating agentic workflows and specialist tasks with efficient inference.",1729123200,0.0400000000,0.0400000000,0.0400000000,0.0000000000,0.0000000000,false,3.00,131072,"{""modality"": ""text->text"", ""tokenizer"": ""Mistral"", ""instruct_type"": null, ""input_modalities"": [""text""], ""output_modalities"": [""text""]}","{""is_moderated"": false, ""context_length"": 131072, ""max_completion_tokens"": null}","","[""frequency_penalty"", ""max_tokens"", ""presence_penalty"", ""response_format"", ""seed"", ""stop"", ""structured_outputs"", ""temperature"", ""tool_choice"", ""tools"", ""top_p""]","{""temperature"": 0.3}",2026-01-09 12:37:10.659 +0000,2026-01-09 12:37:10.659 +0000
mistralai/ministral-8b,mistralai/ministral-8b,Mistral: Ministral 8B,"Ministral 8B is an 8B parameter model featuring a unique interleaved sliding-window attention pattern for faster, memory-efficient inference. Designed for edge use cases, it supports up to 128k context length and excels in knowledge and reasoning tasks. It outperforms peers in the sub-10B category, making it perfect for low-latency, privacy-first applications.",1729123200,0.1000000000,0.1000000000,0.1000000000,0.0000000000,0.0000000000,false,8.00,131072,"{""modality"": ""text->text"", ""tokenizer"": ""Mistral"", ""instruct_type"": null, ""input_modalities"": [""text""], ""output_modalities"": [""text""]}","{""is_moderated"": false, ""context_length"": 131072, ""max_completion_tokens"": null}","","[""frequency_penalty"", ""max_tokens"", ""presence_penalty"", ""response_format"", ""seed"", ""stop"", ""structured_outputs"", ""temperature"", ""tool_choice"", ""tools"", ""top_p""]","{""temperature"": 0.3}",2026-01-09 12:37:10.659 +0000,2026-01-09 12:37:10.659 +0000
nvidia/nemotron-nano-9b-v2,nvidia/nemotron-nano-9b-v2,NVIDIA: Nemotron Nano 9B V2,"NVIDIA-Nemotron-Nano-9B-v2 is a large language model (LLM) trained from scratch by NVIDIA, and designed as a unified model for both reasoning and non-reasoning tasks. It responds to user queries and tasks by first generating a reasoning trace and then concluding with a final response. 

The model's reasoning capabilities can be controlled via a system prompt. If the user prefers the model to provide its final answer without intermediate reasoning traces, it can be configured to do so.",1757106807,0.0400000000,0.1600000000,0.1000000000,0.0000000000,0.0000000000,false,9.00,131072,"{""modality"": ""text->text"", ""tokenizer"": ""Other"", ""instruct_type"": null, ""input_modalities"": [""text""], ""output_modalities"": [""text""]}","{""is_moderated"": false, ""context_length"": 131072, ""max_completion_tokens"": null}","","[""frequency_penalty"", ""include_reasoning"", ""logit_bias"", ""max_tokens"", ""min_p"", ""presence_penalty"", ""reasoning"", ""repetition_penalty"", ""response_format"", ""seed"", ""stop"", ""temperature"", ""tool_choice"", ""tools"", ""top_k"", ""top_p""]","",2026-01-09 12:37:10.659 +0000,2026-01-09 12:37:10.659 +0000
