sample_id,sequence_number,gold_label,predicted_label,user_label,assessment
f4e800b1-9ed9-4042-a9f3-197f6f2f0761,87,0,3,3,model_correct
fc8238fc-f9fd-4fa7-a01f-cfe66434f89d,97,0,3,1,human_closer
4631ec26-b61f-4e14-be9a-bbba1b2868fe,101,0,3,2,model_closer
9a8189fd-d54f-4484-8d3f-9af5b9bd4a44,270,0,3,1,human_closer
514a6e23-4620-42cd-b85e-fc445c03ff5d,308,0,3,3,model_correct
872a892d-d024-4afc-beb4-0e9fb596b410,404,0,3,3,model_correct
ccf71b05-5be7-4ac8-8d82-ef409c471022,439,0,3,0,human_correct
a3467bc9-36de-4fb8-9fe7-acf5a664aa6c,459,3,0,1,model_closer
65108fa4-74b4-44f3-bffa-3cdcb823a5ca,475,0,3,1,human_closer
ebc40662-6492-4a44-8e9e-80b8b11d743b,513,0,3,1,human_closer
cd62546a-f598-4c3e-972b-c584d885cf51,523,3,0,0,model_correct
253e00b8-d7c1-4711-a896-491b7c645885,524,3,0,1,model_closer
ab904b2e-c483-4b3a-9b0c-2744c0f95aba,525,3,0,1,model_closer
c50df1cd-d256-4c85-bd4f-b2c23b1636f8,558,0,3,2,model_closer
b17b9192-e565-4301-a29d-2790a6ec4d1a,561,0,3,3,model_correct
49565e92-809d-4601-936d-bfa68edbb8a4,562,0,3,2,model_closer
10915741-f366-4a94-b771-d41e17930ae2,574,0,3,1,human_closer
44dbcef6-c771-4c3f-a233-7699c537e30f,590,0,3,1,human_closer
1bd28cf0-c41d-4c62-ab62-3fadca340609,602,0,3,3,model_correct
edde033d-d38f-4ffa-95ca-5b6775f2d12a,606,0,3,3,model_correct
31d79b92-3299-4a0e-b411-a1edd7a8e9d5,609,0,3,1,human_closer
2972b84f-e961-4b7c-b8a1-37d41981e125,610,0,3,3,model_correct
5b2acf14-f6a6-4187-8ca8-4448e0437af4,611,0,3,3,model_correct
397e73d8-14b2-46eb-90a6-960ccc2ae577,614,0,3,2,model_closer
20e56683-7cb6-45f5-8ba4-411b2b488305,626,0,3,2,model_closer
3b9ec01b-a48f-448e-aea5-d9aeacd486dc,630,0,3,3,model_correct
6314635a-96c4-4f6a-96ae-b759312c050e,631,0,3,1,human_closer
a32d74f8-66e3-4316-953b-d2b1ef84c391,634,0,3,3,model_correct
202f8cb3-926c-47b8-8f01-7c89ec9cbf09,636,0,3,3,model_correct
8f0eb459-ab66-4b3f-bec6-9fe534f3c69c,647,0,3,3,model_correct
7d925e69-4817-4d74-880b-b39b870196b3,648,0,3,3,model_correct
52392a7e-70c5-44c0-82bf-7b29ba397871,650,0,3,3,model_correct
492e43f3-7f26-44a9-9b93-4c3137a493f2,655,0,3,2,model_closer
6db9f00e-130c-4448-ab9e-cb7e233be6de,662,0,3,1,human_closer
01bb98e5-a92b-413b-8569-3a8870b27ecd,669,0,3,2,model_closer
b49605fe-24d7-4b2a-8f5c-1c0e3ab35cd1,677,0,3,1,human_closer
9b98801e-c834-4e80-bd1c-922d559dcc3f,690,0,3,2,model_closer
dab653cb-2d6c-4fd4-9482-a971a19e87d8,698,3,0,2,human_closer
f45d3c70-7f8b-4235-9583-b0d1caa4b5a8,714,0,3,1,human_closer
003248b7-4e60-4084-aa0a-aaf30e31ba58,728,0,3,1,human_closer
7c6210c2-d220-49b9-8c17-36ab6a7b3f7e,814,0,3,2,model_closer
1e8c399c-cdc1-4556-b18a-51a32a5c3bbb,877,3,0,3,human_correct
e2082f92-4084-4154-a02e-23c0250fdcee,887,3,0,2,human_closer
4ded88c0-74e1-4e9d-a344-da0cee99695a,888,0,3,1,human_closer
c81f1dd0-a1e5-47fa-9b57-baf7f8404427,916,3,0,1,model_closer
91908886-81d3-4718-b8f9-8f4a9cb8f424,1321,0,3,3,model_correct
964639df-db2b-49e5-bedb-51365686e32d,1337,0,3,1,human_closer
a5843669-7856-437e-bc3c-e85095e8cfd0,1374,0,3,1,human_closer
e9cb531e-c97e-493c-9f8b-8a549ec9fab7,1383,0,3,1,human_closer
0e0cdaf8-0da6-41e0-a12c-3036fdb9a28e,1387,0,3,2,model_closer
7085c84b-4d52-4d40-8974-74ab1aa2aabe,1441,0,3,1,human_closer
723822df-8934-47a3-90b8-93ab6267fd6c,1454,0,3,1,human_closer
cc8306bc-0246-4b63-bd18-cb6f44d0a5ff,1457,0,3,1,human_closer
90243eba-54db-44a2-8837-8c0ecfb903bc,1462,0,3,1,human_closer
0d619cec-42e7-49ce-ab42-ae534cf47a6f,1468,0,3,1,human_closer
7495e40e-6e4e-47f9-a3dc-8ff2ef024bb8,1478,0,3,1,human_closer
40d48969-6b0c-4e7e-9f55-5ce5fef50b9d,1692,3,0,3,human_correct
769eb7cc-f80a-4ff9-a187-ad7bda686769,1717,0,3,2,model_closer
