model_id,provider,Location,training data,Input modalities,Output modalities,Reasoning,Use Case,openrouter link,other links,Column1
bytedance/ui-tars-1.5-7b,Bytedance,China,,multimodal vision-language,,,"optimized for GUI-based environments, including desktop interfaces, web browsers, mobile systems, and games",https://openrouter.ai/bytedance/ui-tars-1.5-7b,https://huggingface.co/ByteDance-Seed/UI-TARS-1.5-7B,
cohere/command-r7b-12-2024,Cohere,Canada,,Multilingual Text,,TRUE,"high throughput, latency-sensitive applications like chatbots and code assistants",,,
deepseek/deepseek-r1-0528-qwen3-8b,Deepseek,China,,,,TRUE,,,,
google/gemma-3-4b-it,Google,US,"Web Documents, Code, Mathematics, Images","Multilangual Text, Images",Text,,"Text Generation, Chatbots and Conversational AI, Text Summarization, Image Data Extraction, Natural Language Processing, Language Learning Tools, Knowledge Exploration",,,
ibm-granite/granite-4.0-h-micro,IBM,US,open source instruction datasets,Multilingual Text,,,context tool calling,,,
meta-llama/llama-guard-3-8b,Meta,US,,,,,,,,
meta-llama/llama-3.2-3b-instruct,Meta,US,A new mix of publicly available online data.,Multilingual Text,Multilingual Text and code,,"multilingual dialogue, agentic retrieval and summarization tasks",https://openrouter.ai/meta-llama/llama-3.2-3b-instruct,https://github.com/meta-llama/llama-models/blob/main/models/llama3_2/MODEL_CARD.md,
microsoft/phi-4-multimodal-instruct,Microsoft,US,,"Multilingual Text, Images, Audio",Text,,"efficient, low-latency inference, suitable for edge and mobile deployments",,,
mistralai/ministral-3b-2512,Mistralai,France,,,,,,,,
mistralai/ministral-8b-2512,Mistralai,France,,,,,,,,
mistralai/ministral-3b,Mistralai,France,,,,,,,,
mistralai/ministral-8b,Mistralai,France,,,,,,,,
nvidia/nemotron-nano-9b-v2,Nvidia,US,,Multilingual Text,Text,TRUE,general purpose reasoning and chat model intended to be used in English and coding languages,https://openrouter.ai/nvidia/nemotron-nano-9b-v2,https://huggingface.co/nvidia/NVIDIA-Nemotron-Nano-9B-v2,
qwen/qwen3-8b,Qwen,China,,Multilingual Text,Text,TRUE,"easoning-heavy tasks and efficient dialogue, creative writing, role-playing, multi-turn dialogues",,,
qwen/qwen3-vl-8b-instruct,Qwen,China,,,,,,,,
